,Date,Ticker,Company,TTM_NetIncome,Shareholders_Equity,Return_on_Equity,Total_Assets,Return_On_Assets,LT_Investments_Debt,Return_on_Investment,Shares_Outstanding,TTM_Revenue,TTM_Gross_Profit,Gross_Margin,Net_Margin
30,2014-09-30,JNJ,johnson-johnson,17320000000.0,76590000000.0,0.22699999999999998,132100000000.0,0.12990000000000002,89740000000.0,0.23,2864000000.0,74430000000.0,51580000000.0,0.693,0.2327
31,2014-06-30,JNJ,johnson-johnson,15550000000.0,78050000000.0,0.2084,135199999999.99998,0.11779999999999999,91350000000.0,0.2006,2874000000.0,73540000000.0,50750000000.0,0.6901,0.2115
32,2014-03-31,JNJ,johnson-johnson,15060000000.0,76580000000.0,0.2077,133330000000.00002,0.1165,89930000000.0,0.1979,2875000000.0,71920000000.0,49680000000.0,0.6907,0.2094
33,2013-12-31,JNJ,johnson-johnson,13830000000.0,74050000000.0,0.1973,132680000000.0,0.1094,87380000000.0,0.1907,2877000000.0,71310000000.0,48970000000.0,0.6867,0.19399999999999998
34,2013-09-30,JNJ,johnson-johnson,12880000000.0,69800000000.0,0.19,126930000000.0,0.1043,79550000000.0,0.20190000000000002,2881000000.0,70520000000.0,48130000000.0,0.6825,0.1826
35,2013-06-30,JNJ,johnson-johnson,12870000000.0,69670000000.0,0.1941,124330000000.0,0.1059,79310000000.0,0.2039,2893000000.0,69990000000.0,47350000000.0,0.6765000000000001,0.1838
36,2013-03-31,JNJ,johnson-johnson,10440000000.0,66860000000.0,0.1632,121540000000.0,0.0874,78220000000.0,0.1722,2859000000.0,68590000000.0,46290000000.0,0.6748999999999999,0.1522
37,2012-12-31,JNJ,johnson-johnson,10850000000.0,64830000000.0,0.1734,121350000000.0,0.0919,76320000000.0,0.185,2813000000.0,67220000000.0,45570000000.0,0.6778,0.16140000000000002
38,2012-09-30,JNJ,johnson-johnson,8500000000.0,63760000000.0,0.1402,118950000000.0,0.0732,75190000000.0,0.1508,2818000000.0,65920000000.0,44930000000.0,0.6815000000000001,0.129
39,2012-06-30,JNJ,johnson-johnson,8740000000.0,60430000000.0,0.1454,115750000000.0,0.0764,71960000000.0,0.1582,2798000000.0,64870000000.00001,44410000000.0,0.6845,0.13470000000000001
40,2012-03-31,JNJ,johnson-johnson,10110000000.0,61370000000.0,0.16699999999999998,116190000000.0,0.0891,74380000000.0,0.175,2775000000.0,65000000000.0,44500000000.0,0.6846,0.1555
41,2011-12-31,JNJ,johnson-johnson,9670000000.0,57080000000.0,0.16079999999999997,113640000000.0,0.0868,70050000000.0,0.17079999999999998,2775000000.0,65030000000.0,44670000000.0,0.6869,0.1487
42,2011-09-30,JNJ,johnson-johnson,11400000000.0,61530000000.0,0.18989999999999999,111820000000.0,0.1048,74560000000.0,0.20010000000000003,2778000000.0,64420000000.0,44360000000.0,0.6886,0.1769
43,2011-06-30,JNJ,johnson-johnson,11610000000.0,62130000000.0,0.19690000000000002,112110000000.0,0.11019999999999999,75810000000.0,0.2075,2781000000.0,63400000000.0,43810000000.0,0.6911,0.1832
44,2011-03-31,JNJ,johnson-johnson,12280000000.0,59860000000.0,0.2169,108150000000.0,0.1223,69120000000.0,0.2316,2773000000.0,62130000000.0,43090000000.0,0.6934999999999999,0.1977
45,2010-12-31,JNJ,johnson-johnson,13330000000.0,56580000000.0,0.24280000000000002,102910000000.0,0.1379,65739999999.99999,0.2669,2789000000.0,61590000000.0,42800000000.0,0.6949,0.2165
46,2010-09-30,JNJ,johnson-johnson,13600000000.0,57290000000.0,0.2546,98250000000.0,0.1436,66470000000.0,0.2805,2786000000.0,62490000000.0,43430000000.0,0.6949,0.21760000000000002
47,2010-06-30,JNJ,johnson-johnson,13530000000.0,52850000000.0,0.26170000000000004,92300000000.0,0.1454,60790000000.0,0.2901,2796000000.0,62590000000.0,43690000000.0,0.698,0.2161
48,2010-03-31,JNJ,johnson-johnson,13290000000.0,52910000000.0,0.2655,93440000000.0,0.1447,60970000000.0,0.2988,2797000000.0,62500000000.0,43780000000.0,0.7004,0.2126
49,2009-12-31,JNJ,johnson-johnson,12270000000.0,50590000000.0,0.2569,94680000000.0,0.1364,58810000000.0,0.2817,2789000000.0,61900000000.0,43450000000.0,0.7020000000000001,0.19820000000000002
0,2022-03-31,LLY,eli-lilly,6130000000.0,9460000000.0,0.7376999999999999,46920000000.0,0.12789999999999999,24620000000.0,0.3236,906000000.0,29320000000.0,21820000000.0,0.7440000000000001,0.209
1,2021-12-31,LLY,eli-lilly,5580000000.0,9160000000.0,0.7231000000000001,48810000000.0,0.1165,24500000000.0,0.2743,912000000.0,28320000000.0,21010000000.0,0.7418,0.1971
2,2021-09-30,LLY,eli-lilly,5970000000.0,7950000000.0,0.8673000000000001,48190000000.0,0.1261,23480000000.0,0.284,911000000.0,27760000000.0,20780000000.0,0.7484000000000001,0.2151
3,2021-06-30,LLY,eli-lilly,6070000000.0,6660000000.0,0.9876,47810000000.0,0.1311,21400000000.0,0.2636,910000000.0,26730000000.0,19850000000.0,0.7426,0.2271
4,2021-03-31,LLY,eli-lilly,6090000000.0,7100000000.0,1.0981,46840000000.0,0.1358,23300000000.0,0.26030000000000003,912000000.0,25490000000.0,19340000000.0,0.7587999999999999,0.239
5,2020-12-31,LLY,eli-lilly,6190000000.0,5830000000.0,1.3546,46630000000.0,0.1427,22410000000.0,0.3019,913000000.0,24540000000.0,19060000000.0,0.7765000000000001,0.25239999999999996
6,2020-09-30,LLY,eli-lilly,5570000000.0,5000000000.0,1.4701,43950000000.0,0.134,21330000000.0,0.294,911000000.0,23210000000.0,18170000000.0,0.7826000000000001,0.2401
7,2020-06-30,LLY,eli-lilly,5620000000.0,4269999999.9999995,1.649,41970000000.0,0.14029999999999998,19340000000.0,0.3204,911000000.0,22950000000.0,18060000000.0,0.7867000000000001,0.24480000000000002
8,2020-03-31,LLY,eli-lilly,5530000000.0,3200000000.0,1.8122,41100000000.0,0.141,17180000000.0,0.3514,912000000.0,23090000000.0,18290000000.0,0.7922,0.2397
9,2019-12-31,LLY,eli-lilly,8320000000.0,2700000000.0,2.8728,39290000000.0,0.2163,16520000000.0,0.29969999999999997,936000000.0,22320000000.0,17600000000.0,0.7885,0.37270000000000003
10,2019-09-30,LLY,eli-lilly,7950000000.0,3460000000.0,1.6062,37890000000.0,0.2006,17129999999.999998,0.2557,919000000.0,21840000000.0,17280000000.0,0.7909,0.3639
